Date,FLDATA.Death,FLDATA.DeathIncrease,FLDATA.HospCurr,FLDATA.IcuCurr
2020-3-4,0,0,0,0
2020-3-5,0,0,0,0
2020-3-6,0,0,0,0
2020-3-7,0,0,0,0
2020-3-8,0,0,0,0
2020-3-9,0,0,0,0
2020-3-10,0,0,0,0
2020-3-11,2,2,0,0
2020-3-12,2,0,0,0
2020-3-13,2,0,0,0
2020-3-14,3,1,0,0
2020-3-15,4,1,0,0
2020-3-16,4,0,0,0
2020-3-17,6,2,0,0
2020-3-18,7,1,0,0
2020-3-19,8,1,0,0
2020-3-20,10,2,0,0
2020-3-21,12,2,0,0
2020-3-22,13,1,0,0
2020-3-23,14,1,0,0
2020-3-24,18,4,0,0
2020-3-25,22,4,0,0
2020-3-26,28,6,0,0
2020-3-27,34,6,0,0
2020-3-28,54,20,0,0
2020-3-29,56,2,0,0
2020-3-30,63,7,0,0
2020-3-31,77,14,0,0
2020-4-1,87,10,0,0
2020-4-2,128,41,0,0
2020-4-3,163,35,0,0
2020-4-4,191,28,0,0
2020-4-5,218,27,0,0
2020-4-6,236,18,0,0
2020-4-7,296,60,0,0
2020-4-8,309,13,0,0
2020-4-9,354,45,0,0
2020-4-10,390,36,0,0
2020-4-11,438,48,0,0
2020-4-12,465,27,0,0
2020-4-13,483,18,0,0
2020-4-14,537,54,0,0
2020-4-15,609,72,0,0
2020-4-16,646,37,0,0
2020-4-17,699,53,0,0
2020-4-18,754,55,0,0
2020-4-19,781,27,0,0
2020-4-20,806,25,0,0
2020-4-21,856,50,0,0
2020-4-22,910,54,0,0
2020-4-23,979,69,0,0
2020-4-24,1031,52,0,0
2020-4-25,1075,44,0,0
2020-4-26,1094,19,0,0
2020-4-27,1101,7,0,0
2020-4-28,1154,53,0,0
2020-4-29,1240,86,0,0
2020-4-30,1290,50,0,0
2020-5-1,1314,24,0,0
2020-5-2,1388,74,0,0
2020-5-3,1403,15,0,0
2020-5-4,1423,20,0,0
2020-5-5,1536,113,0,0
2020-5-6,1605,69,0,0
2020-5-7,1667,62,0,0
2020-5-8,1738,71,0,0
2020-5-9,1785,47,0,0
2020-5-10,1791,6,0,0
2020-5-11,1805,14,0,0
2020-5-12,1849,44,0,0
2020-5-13,1898,49,0,0
2020-5-14,1948,50,0,0
2020-5-15,1991,43,0,0
2020-5-16,2040,49,0,0
2020-5-17,2049,9,0,0
2020-5-18,2073,24,0,0
2020-5-19,2129,56,0,0
2020-5-20,2173,44,0,0
2020-5-21,2222,49,0,0
2020-5-22,2268,46,0,0
2020-5-23,2312,44,0,0
2020-5-24,2316,4,0,0
2020-5-25,2331,15,0,0
2020-5-26,2338,7,0,0
2020-5-27,2400,62,0,0
2020-5-28,2446,46,0,0
2020-5-29,2495,49,0,0
2020-5-30,2530,35,0,0
2020-5-31,2534,4,0,0
2020-6-1,2543,9,0,0
2020-6-2,2613,70,0,0
2020-6-3,2650,37,0,0
2020-6-4,2691,41,0,0
2020-6-5,2745,54,0,0
2020-6-6,2773,28,0,0
2020-6-7,2786,13,0,0
2020-6-8,2798,12,0,0
2020-6-9,2851,53,0,0
2020-6-10,2889,38,0,0
2020-6-11,2938,49,0,0
2020-6-12,2967,29,0,0
2020-6-13,3016,49,0,0
2020-6-14,3022,6,0,0
2020-6-15,3030,8,0,0
2020-6-16,3085,55,0,0
2020-6-17,3110,25,0,0
2020-6-18,3154,44,0,0
2020-6-19,3197,43,0,0
2020-6-20,3237,40,0,0
2020-6-21,3254,17,0,0
2020-6-22,3266,12,0,0
2020-6-23,3333,67,0,0
2020-6-24,3377,44,0,0
2020-6-25,3423,46,0,0
2020-6-26,3464,41,0,0
2020-6-27,3489,25,0,0
2020-6-28,3518,29,0,0
2020-6-29,3546,28,0,0
2020-6-30,3604,58,0,0
2020-7-1,3650,46,0,0
2020-7-2,3718,68,0,0
2020-7-3,3785,67,0,0
2020-7-4,3803,18,0,0
2020-7-5,3832,29,0,0
2020-7-6,3880,48,0,0
2020-7-7,3943,63,0,0
2020-7-8,3991,48,0,0
2020-7-9,4111,120,0,0
2020-7-10,4203,92,6974,0
2020-7-11,4301,98,7186,0
2020-7-12,4346,45,7542,0
2020-7-13,4381,35,8051,0
2020-7-14,4514,133,8354,0
2020-7-15,4626,112,8217,0
2020-7-16,4782,156,9112,0
2020-7-17,4912,130,8961,0
2020-7-18,5002,90,9144,0
2020-7-19,5091,89,9363,0
2020-7-20,5183,92,9489,0
2020-7-21,5319,136,9520,0
2020-7-22,5459,140,9475,0
2020-7-23,5632,173,9422,0
2020-7-24,5768,136,9200,0
2020-7-25,5894,126,9035,0
2020-7-26,5972,78,8951,0
2020-7-27,6049,77,9098,0
2020-7-28,6240,191,8992,0
2020-7-29,6457,217,8720,0
2020-7-30,6709,252,8395,0
2020-7-31,6966,257,8209,0
2020-8-1,7144,178,8072,0
2020-8-2,7206,62,7952,0
2020-8-3,7279,73,7938,0
2020-8-4,7526,247,7857,0
2020-8-5,7751,225,7615,0
2020-8-6,7871,120,7459,0
2020-8-7,8051,180,7144,0
2020-8-8,8238,187,6890,0
2020-8-9,8315,77,6848,0
2020-8-10,8408,93,6948,0
2020-8-11,8685,277,6753,0
2020-8-12,8898,213,6551,0
2020-8-13,9047,149,6325,0
2020-8-14,9276,229,5893,0
2020-8-15,9480,204,5721,0
2020-8-16,9587,107,5690,0
2020-8-17,9674,87,5631,0
2020-8-18,9893,219,5484,0
2020-8-19,10067,174,5298,0
2020-8-20,10186,119,5067,0
2020-8-21,10304,118,4902,0
2020-8-22,10411,107,4745,0
2020-8-23,10462,51,4580,0
2020-8-24,10534,72,4646,0
2020-8-25,10717,183,4544,0
2020-8-26,10872,155,4405,0
2020-8-27,11011,139,4252,0
2020-8-28,11099,88,4001,0
2020-8-29,11249,150,3799,0
2020-8-30,11263,14,3793,0
2020-8-31,11331,68,3736,0
2020-9-1,11521,190,3623,0
2020-9-2,11651,130,3511,0
2020-9-3,11800,149,3438,0
2020-9-4,11903,103,3360,0
2020-9-5,11963,60,3229,0
2020-9-6,12001,38,3167,0
2020-9-7,12023,22,3157,0
2020-9-8,12067,44,3155,0
2020-9-9,12269,202,3077,0
2020-9-10,12482,213,2896,0
2020-9-11,12658,176,2815,0
2020-9-12,12756,98,2683,0
2020-9-13,12764,8,2631,0
2020-9-14,12800,36,2637,0
2020-9-15,12946,146,2574,0
2020-9-16,13100,154,2464,0
2020-9-17,13247,147,2385,0
2020-9-18,13387,140,2383,0
2020-9-19,13450,63,2266,0
2020-9-20,13459,9,2292,0
2020-9-21,13480,21,2266,0
2020-9-22,13579,99,2319,0
2020-9-23,13782,203,2254,0
2020-9-24,13961,179,2169,0
2020-9-25,14083,122,2121,0
2020-9-26,14190,107,2099,0
2020-9-27,14202,12,2103,0
2020-9-28,14207,5,2122,0
2020-9-29,14313,106,2174,0
2020-9-30,14488,175,2097,0
2020-10-1,14619,131,2080,0
2020-10-2,14730,111,2056,0
2020-10-3,14803,73,2037,0
2020-10-4,14845,42,2040,0
2020-10-5,14886,41,2118,0
2020-10-6,14945,59,2151,0
2020-10-7,15084,139,2121,0
2020-10-8,15254,170,2141,0
2020-10-9,15372,118,2143,0
2020-10-10,15372,0,2077,0
2020-10-11,15552,180,2123,0
2020-10-12,15599,47,2206,0
2020-10-13,15722,123,2127,0
2020-10-14,15788,66,2155,0
2020-10-15,15932,144,2119,0
2020-10-16,16030,98,2083,0
2020-10-17,16118,88,2031,0
2020-10-18,16168,50,2005,0
2020-10-19,16222,54,2057,0
2020-10-20,16308,86,2094,0
2020-10-21,16308,0,2125,0
2020-10-22,16470,162,2074,0
2020-10-23,16544,74,2114,0
2020-10-24,16620,76,2162,0
2020-10-25,16632,12,2219,0
2020-10-26,16652,20,2258,0
2020-10-27,16709,57,2316,0
2020-10-28,16775,66,2340,0
2020-10-29,16854,79,2347,0
2020-10-30,16927,73,2356,0
2020-10-31,16969,42,2297,0
2020-11-1,16997,28,2370,0
2020-11-2,17043,46,2474,0
2020-11-3,17099,56,2486,0
2020-11-4,17131,32,2489,0
2020-11-5,17170,39,2523,0
2020-11-6,17224,54,2564,0
2020-11-7,17311,87,2672,0
2020-11-8,17333,22,2779,0
2020-11-9,17391,58,2902,0
2020-11-10,17460,69,3034,0
2020-11-11,17512,52,3056,0
2020-11-12,17585,73,3062,0
2020-11-13,17659,74,3129,0
2020-11-14,17704,45,3151,0
2020-11-15,17734,30,3118,0
2020-11-16,17775,41,3243,0
2020-11-17,17861,86,3369,0
2020-11-18,17949,88,3352,0
2020-11-19,18030,81,3380,0
2020-11-20,18110,80,3439,0
2020-11-21,18152,42,3396,0
2020-11-22,18214,62,3613,0
2020-11-23,18310,96,3754,0
2020-11-24,18383,73,3780,0
2020-11-25,18482,99,3723,0
2020-11-26,18482,0,3723,0
2020-11-27,18596,114,3748,0
2020-11-28,18677,81,3918,0
2020-11-29,18736,59,4059,0
2020-11-30,18834,98,4159,0
2020-12-1,18916,82,4282,0
2020-12-2,19012,96,4248,0
2020-12-3,19112,100,4286,0
2020-12-4,19236,124,4334,0
2020-12-5,19327,91,4339,0
2020-12-6,19423,96,4400,0
2020-12-7,19529,106,4495,0
2020-12-8,19627,98,4558,0
2020-12-9,19716,89,4559,0
2020-12-10,19851,135,4553,0
2020-12-11,19977,126,4624,0
2020-12-12,20049,72,4509,0
2020-12-13,20133,84,4687,0
2020-12-14,20271,138,4932,0
2020-12-15,20365,94,5103,0
2020-12-16,20490,125,5156,0
2020-12-17,20594,104,5122,0
2020-12-18,20690,96,5172,0
2020-12-19,20764,74,5086,0
2020-12-20,20861,97,5235,0
2020-12-21,20976,115,5512,0
2020-12-22,21052,76,5634,0
2020-12-23,21173,121,5590,0
2020-12-24,21295,122,5619,0
2020-12-25,21295,0,5457,0
2020-12-26,21437,142,5647,0
2020-12-27,21514,77,5910,0
2020-12-28,21613,99,6109,0
2020-12-29,21718,105,6280,0
2020-12-30,21857,139,6298,0
2020-12-31,21990,133,6363,0
2021-1-1,21990,0,6454,0
2021-1-2,22210,220,6701,0
2021-1-3,22310,100,6969,0
2021-1-4,22415,105,7238,0
2021-1-5,22515,100,7345,0
2021-1-6,22647,132,7303,0
2021-1-7,22817,170,7327,0
2021-1-8,23011,194,7407,0
2021-1-9,23150,139,7455,0
2021-1-10,23261,111,7494,0
2021-1-11,23424,163,7650,0
2021-1-12,23585,161,7720,0
2021-1-13,23759,174,7584,0
2021-1-14,23981,222,7762,0
2021-1-15,24169,188,7528,0
2021-1-16,24380,211,7347,0
2021-1-17,24515,135,7421,0
2021-1-18,24657,142,7448,0
2021-1-19,24820,163,7367,0
2021-1-20,24965,145,7141,0
2021-1-21,25128,163,7023,0
2021-1-22,25405,277,6904,0
2021-1-23,25561,156,6711,0
2021-1-24,25693,132,6727,0
2021-1-25,25849,156,6899,0
2021-1-26,26080,231,6775,0
2021-1-27,26249,169,6679,0
2021-1-28,26456,207,6565,0
2021-1-29,26685,229,6375,0
2021-1-30,26795,110,6153,0
2021-1-31,26915,120,6101,0
2021-2-1,27129,214,6142,0
2021-2-2,27269,140,6020,0
2021-2-3,27472,203,5824,0
2021-2-4,27698,226,5607,0
2021-2-5,27913,215,5428,0
2021-2-6,28058,145,5377,0
2021-2-7,28161,103,5381,0
2021-2-8,28287,126,5381,0
2021-2-9,28526,239,5307,0
2021-2-10,28691,165,5129,0
2021-2-11,28871,180,4906,0
2021-2-12,29061,190,4825,0
2021-2-13,29179,118,4681,0
2021-2-14,29275,96,4672,0
2021-2-15,29434,159,4676,0
2021-2-16,29659,225,4646,0
2021-2-17,29824,165,4465,0
2021-2-18,29990,166,4367,0
2021-2-19,30214,224,4298,0
2021-2-20,30339,125,4213,0
2021-2-21,30434,95,4160,0
2021-2-22,30595,161,4175,0
2021-2-23,30749,154,4198,0
2021-2-24,30878,129,4077,0
2021-2-25,31018,140,3957,0
2021-2-26,31162,144,3864,0
2021-2-27,31280,118,3728,0
2021-2-28,31406,126,3679,0
2021-3-1,31556,150,3686,0
2021-3-2,31696,140,3674,0
2021-3-3,31829,133,3596,0
2021-3-4,31955,126,3566,0
2021-3-5,32093,138,3419,0
2021-3-6,32200,107,3352,0
2021-3-7,32266,66,3307,0
