Date,NYDATA.Death,NYDATA.DeathIncrease,NYDATA.HospCurr,NYDATA.IcuCurr
2020-3-4,0,0,0,0
2020-3-5,0,0,0,0
2020-3-6,0,0,0,0
2020-3-7,0,0,0,0
2020-3-8,0,0,0,0
2020-3-9,0,0,0,0
2020-3-10,0,0,0,0
2020-3-11,0,0,0,0
2020-3-12,0,0,0,0
2020-3-13,0,0,0,0
2020-3-14,0,0,0,0
2020-3-15,3,3,0,0
2020-3-16,7,4,0,0
2020-3-17,7,0,325,0
2020-3-18,12,5,416,0
2020-3-19,12,0,617,0
2020-3-20,35,23,1042,0
2020-3-21,44,9,1436,0
2020-3-22,114,70,2043,0
2020-3-23,114,0,2629,0
2020-3-24,210,96,3343,0
2020-3-25,285,75,4079,0
2020-3-26,385,100,5327,1290
2020-3-27,519,134,6481,1583
2020-3-28,728,209,7328,1755
2020-3-29,965,237,8503,2037
2020-3-30,1218,253,9517,2352
2020-3-31,1550,332,10929,2710
2020-4-1,1941,391,12226,3022
2020-4-2,2373,432,13383,3396
2020-4-3,2935,562,14810,3731
2020-4-4,3565,630,15905,4126
2020-4-5,4159,594,16479,4376
2020-4-6,4758,599,16837,4504
2020-4-7,5489,731,17493,4539
2020-4-8,6268,779,18079,4841
2020-4-9,7067,799,18279,4925
2020-4-10,7844,777,18569,4908
2020-4-11,8627,783,18654,5009
2020-4-12,9385,758,18707,5198
2020-4-13,10056,671,18825,5156
2020-4-14,10834,778,18697,5225
2020-4-15,11586,752,18335,5205
2020-4-16,12192,606,17735,5071
2020-4-17,12822,630,17316,5039
2020-4-18,13362,540,16967,4996
2020-4-19,13869,507,16213,4878
2020-4-20,14347,478,16103,4814
2020-4-21,14828,481,16135,4729
2020-4-22,15302,474,15599,4690
2020-4-23,15740,438,15021,4597
2020-4-24,16162,422,14258,4540
2020-4-25,16599,437,13524,4410
2020-4-26,16966,367,12839,4284
2020-4-27,17303,337,12819,4157
2020-4-28,17638,335,12646,4071
2020-4-29,18015,377,12159,3923
2020-4-30,18321,306,11598,3769
2020-5-1,18610,289,10993,3640
2020-5-2,18909,299,10350,3501
2020-5-3,19189,280,9786,3430
2020-5-4,19415,226,9647,3330
2020-5-5,19645,230,9600,3281
2020-5-6,19877,232,9179,3098
2020-5-7,20828,951,8665,2976
2020-5-8,21045,217,8196,2811
2020-5-9,21271,226,7776,2664
2020-5-10,21478,207,7262,2488
2020-5-11,21640,162,7226,2450
2020-5-12,21845,205,7063,2375
2020-5-13,22013,168,6946,2308
2020-5-14,22170,157,6706,2223
2020-5-15,22304,134,6394,2156
2020-5-16,22478,174,6220,2077
2020-5-17,22619,141,5897,1981
2020-5-18,22729,110,5840,1908
2020-5-19,22843,114,5818,1836
2020-5-20,22976,133,5570,1761
2020-5-21,23083,107,5187,1695
2020-5-22,23195,112,4844,1581
2020-5-23,23282,87,4642,1502
2020-5-24,23391,109,4393,1406
2020-5-25,23488,97,4348,1366
2020-5-26,23564,76,4265,1273
2020-5-27,23643,79,4208,1261
2020-5-28,23722,79,4010,1219
2020-5-29,23780,58,3781,1164
2020-5-30,23848,68,3619,1124
2020-5-31,23905,57,3436,1050
2020-6-1,23959,54,3331,999
2020-6-2,24023,64,3121,907
2020-6-3,24079,56,2978,865
2020-6-4,24133,54,2849,832
2020-6-5,24175,42,2728,758
2020-6-6,24212,37,2603,720
2020-6-7,24259,47,2427,704
2020-6-8,24299,40,2371,678
2020-6-9,24348,49,2344,663
2020-6-10,24404,56,2190,630
2020-6-11,24442,38,2042,581
2020-6-12,24495,53,1898,552
2020-6-13,24527,32,1734,517
2020-6-14,24551,24,1657,499
2020-6-15,24579,28,1608,470
2020-6-16,24608,29,1538,449
2020-6-17,24629,21,1479,431
2020-6-18,24661,32,1358,388
2020-6-19,24686,25,1284,359
2020-6-20,24710,24,1220,335
2020-6-21,24725,15,1142,332
2020-6-22,24739,14,1122,330
2020-6-23,24766,27,1104,302
2020-6-24,24782,16,1071,290
2020-6-25,24800,18,996,270
2020-6-26,24814,14,951,244
2020-6-27,24830,16,908,230
2020-6-28,24835,5,869,229
2020-6-29,24842,7,853,216
2020-6-30,24855,13,891,217
2020-7-1,24866,11,879,226
2020-7-2,24877,11,878,209
2020-7-3,24885,8,857,188
2020-7-4,24896,11,844,190
2020-7-5,24904,8,832,178
2020-7-6,24913,9,817,170
2020-7-7,24924,11,836,160
2020-7-8,24944,20,841,166
2020-7-9,24959,15,851,173
2020-7-10,24968,9,826,178
2020-7-11,24974,6,799,177
2020-7-12,24979,5,801,174
2020-7-13,24989,10,792,175
2020-7-14,24994,5,820,167
2020-7-15,25003,9,831,165
2020-7-16,25014,11,813,165
2020-7-17,25024,10,765,179
2020-7-18,25035,11,743,172
2020-7-19,25048,13,722,160
2020-7-20,25056,8,716,158
2020-7-21,25058,2,724,163
2020-7-22,25068,10,714,179
2020-7-23,25081,13,706,160
2020-7-24,25090,9,650,156
2020-7-25,25103,13,646,149
2020-7-26,25106,3,637,155
2020-7-27,25117,11,642,149
2020-7-28,25126,9,648,152
2020-7-29,25132,6,619,154
2020-7-30,25145,13,586,142
2020-7-31,25150,5,576,140
2020-8-1,25164,14,581,147
2020-8-2,25170,6,556,143
2020-8-3,25172,2,536,136
2020-8-4,25175,3,568,139
2020-8-5,25179,4,564,134
2020-8-6,25185,6,570,132
2020-8-7,25190,5,579,139
2020-8-8,25195,5,573,133
2020-8-9,25202,7,548,131
2020-8-10,25204,2,535,127
2020-8-11,25211,7,540,120
2020-8-12,25218,7,558,123
2020-8-13,25228,10,555,124
2020-8-14,25232,4,554,127
2020-8-15,25244,12,523,120
2020-8-16,25250,6,527,128
2020-8-17,25256,6,534,133
2020-8-18,25264,8,537,126
2020-8-19,25270,6,548,131
2020-8-20,25275,5,518,120
2020-8-21,25278,3,490,119
2020-8-22,25282,4,483,116
2020-8-23,25288,6,472,110
2020-8-24,25295,7,482,120
2020-8-25,25297,2,488,133
2020-8-26,25305,8,492,136
2020-8-27,25309,4,490,126
2020-8-28,25312,3,478,122
2020-8-29,25319,7,458,116
2020-8-30,25327,8,429,112
2020-8-31,25328,1,418,109
2020-9-1,25331,3,432,109
2020-9-2,25336,5,445,117
2020-9-3,25343,7,430,117
2020-9-4,25348,5,428,116
2020-9-5,25350,2,425,115
2020-9-6,25359,9,410,119
2020-9-7,25361,2,413,115
2020-9-8,25367,6,445,114
2020-9-9,25370,3,463,121
2020-9-10,25377,7,482,120
2020-9-11,25382,5,474,120
2020-9-12,25384,2,467,127
2020-9-13,25390,6,464,131
2020-9-14,25394,4,464,143
2020-9-15,25405,11,481,144
2020-9-16,25410,5,483,138
2020-9-17,25413,3,486,135
2020-9-18,25423,10,478,141
2020-9-19,25425,2,467,144
2020-9-20,25427,2,468,132
2020-9-21,25428,1,468,134
2020-9-22,25432,4,470,133
2020-9-23,25437,5,490,141
2020-9-24,25439,2,500,145
2020-9-25,25446,7,511,154
2020-9-26,25450,4,527,164
2020-9-27,25456,6,541,155
2020-9-28,25468,12,543,135
2020-9-29,25470,2,541,147
2020-9-30,25479,9,605,144
2020-10-1,25490,11,612,141
2020-10-2,25497,7,648,146
2020-10-3,25505,8,647,149
2020-10-4,25519,14,618,138
2020-10-5,25527,8,636,149
2020-10-6,25536,9,705,158
2020-10-7,25545,9,748,176
2020-10-8,25555,10,754,172
2020-10-9,25561,6,779,168
2020-10-10,25569,8,826,179
2020-10-11,25574,5,820,186
2020-10-12,25587,13,878,185
2020-10-13,25598,11,923,181
2020-10-14,25605,7,938,201
2020-10-15,25618,13,897,197
2020-10-16,25628,10,918,200
2020-10-17,25637,9,929,195
2020-10-18,25644,7,913,200
2020-10-19,25659,15,934,198
2020-10-20,25672,13,942,194
2020-10-21,25679,7,950,201
2020-10-22,25694,15,986,209
2020-10-23,25705,11,1023,223
2020-10-24,25718,13,1045,231
2020-10-25,25730,12,1015,227
2020-10-26,25742,12,1059,237
2020-10-27,25758,16,1083,233
2020-10-28,25773,15,1085,236
2020-10-29,25792,19,1085,237
2020-10-30,25804,12,1085,243
2020-10-31,25807,3,1121,248
2020-11-1,25824,17,1125,259
2020-11-2,25838,14,1151,276
2020-11-3,25853,15,1227,268
2020-11-4,25868,15,1253,284
2020-11-5,25892,24,1277,268
2020-11-6,25910,18,1321,285
2020-11-7,25928,18,1381,308
2020-11-8,25947,19,1396,295
2020-11-9,25973,26,1444,282
2020-11-10,26005,32,1548,296
2020-11-11,26026,21,1628,304
2020-11-12,26055,29,1677,308
2020-11-13,26079,24,1737,331
2020-11-14,26103,24,1788,367
2020-11-15,26133,30,1845,378
2020-11-16,26159,26,1968,391
2020-11-17,26189,30,2124,408
2020-11-18,26225,36,2202,423
2020-11-19,26257,32,2276,437
2020-11-20,26292,35,2348,445
2020-11-21,26326,34,2443,467
2020-11-22,26357,31,2562,502
2020-11-23,26390,33,2724,545
2020-11-24,26441,51,2856,559
2020-11-25,26482,41,2982,596
2020-11-26,26549,67,3056,628
2020-11-27,26588,39,3103,636
2020-11-28,26632,44,3287,654
2020-11-29,26690,58,3372,667
2020-11-30,26747,57,3532,681
2020-12-1,26816,69,3774,718
2020-12-2,26889,73,3924,742
2020-12-3,26955,66,4063,783
2020-12-4,27017,62,4222,795
2020-12-5,27089,72,4318,825
2020-12-6,27149,60,4442,850
2020-12-7,27232,83,4602,872
2020-12-8,27307,75,4835,906
2020-12-9,27404,97,4993,952
2020-12-10,27498,94,5164,994
2020-12-11,27587,89,5321,1007
2020-12-12,27675,88,5359,1029
2020-12-13,27785,110,5410,1009
2020-12-14,27870,85,5712,1040
2020-12-15,28002,132,5982,1065
2020-12-16,28100,98,6097,1098
2020-12-17,28222,122,6147,1095
2020-12-18,28344,122,6081,1068
2020-12-19,28474,130,6208,1088
2020-12-20,28598,124,6185,1045
2020-12-21,28709,111,6331,1095
2020-12-22,28850,141,6661,1126
2020-12-23,29016,166,6864,1166
2020-12-24,29149,133,6928,1160
2020-12-25,29270,121,6950,1148
2020-12-26,29396,126,6884,1129
2020-12-27,29511,115,7183,1187
2020-12-28,29629,118,7559,1222
2020-12-29,29756,127,7814,1224
2020-12-30,29905,149,7892,1250
2020-12-31,30040,135,7935,1276
2021-1-1,30208,168,7886,1292
2021-1-2,30337,129,7814,1321
2021-1-3,30476,139,7963,1344
2021-1-4,30648,172,8251,1357
2021-1-5,30802,154,8590,1392
2021-1-6,30965,163,8665,1408
2021-1-7,31164,199,8548,1424
2021-1-8,31329,165,8561,1475
2021-1-9,31519,190,8527,1428
2021-1-10,31672,153,8484,1436
2021-1-11,31841,169,8645,1426
2021-1-12,32007,166,8926,1492
2021-1-13,32175,168,8929,1501
2021-1-14,32379,204,8823,1536
2021-1-15,32566,187,8808,1570
2021-1-16,32725,159,8888,1580
2021-1-17,32897,172,8771,1550
2021-1-18,33052,155,8868,1523
2021-1-19,33224,172,9236,1614
2021-1-20,33415,191,9273,1621
2021-1-21,33594,179,9055,1560
2021-1-22,33763,169,8846,1546
2021-1-23,33907,144,8802,1562
2021-1-24,34069,162,8613,1527
2021-1-25,34242,173,8730,1522
2021-1-26,34407,165,8831,1544
2021-1-27,34579,172,8771,1558
2021-1-28,34742,163,8520,1584
2021-1-29,34893,151,8357,1543
2021-1-30,35036,143,8176,1551
2021-1-31,35178,142,7976,1534
2021-2-1,35319,141,8003,1500
2021-2-2,35466,147,8067,1503
2021-2-3,35631,165,8082,1522
2021-2-4,35767,136,7967,1506
2021-2-5,35920,153,7937,1516
2021-2-6,36079,159,7804,1481
2021-2-7,36224,145,7649,1459
2021-2-8,36339,115,7716,1454
2021-2-9,36481,142,7875,1412
2021-2-10,36619,138,7593,1423
2021-2-11,36743,124,7342,1402
2021-2-12,36882,139,7068,1358
2021-2-13,37009,127,6888,1328
2021-2-14,37118,109,6593,1285
2021-2-15,37221,103,6623,1270
2021-2-16,37328,107,6620,1271
2021-2-17,37440,112,6574,1273
2021-2-18,37556,116,6434,1258
2021-2-19,37675,119,6155,1199
2021-2-20,37776,101,5977,1162
2021-2-21,37851,75,5764,1162
2021-2-22,37941,90,5804,1148
2021-2-23,38031,90,5977,1176
2021-2-24,38135,104,5876,1154
2021-2-25,38227,92,5703,1124
2021-2-26,38321,94,5626,1132
2021-2-27,38407,86,5445,1121
2021-2-28,38497,90,5259,1083
2021-3-1,38577,80,5307,1065
2021-3-2,38660,83,5369,1076
2021-3-3,38735,75,5323,1047
2021-3-4,38796,61,5177,1043
2021-3-5,38891,95,5034,1030
2021-3-6,38970,79,4954,1012
2021-3-7,39029,59,4789,999
,,,,
,,,,
